image_name,dice_score
ISIC_0014650,0.882274
ISIC_0000434,0.886429
ISIC_0013012,0.937246
ISIC_0010602,0.980122
ISIC_0012877,0.739133
ISIC_0012823,0.835549
ISIC_0011102,0.890364
ISIC_0014195,0.927412
ISIC_0000069,0.929732
ISIC_0012982,0.956311
ISIC_0000059,0.912430
ISIC_0012880,0.959273
ISIC_0012294,0.899229
ISIC_0009564,0.922548
ISIC_0000467,0.897300
ISIC_0000328,0.918601
ISIC_0010173,0.907258
ISIC_0000141,0.957048
ISIC_0013929,0.574947
ISIC_0014632,0.621762
ISIC_0009982,0.771228
ISIC_0013982,0.501973
ISIC_0015112,0.957356
ISIC_0012208,0.956436
ISIC_0014811,0.958096
ISIC_0000109,0.914373
ISIC_0012503,0.927925
ISIC_0011157,0.975696
ISIC_0010257,0.818608
ISIC_0000030,0.939856
ISIC_0009923,0.830303
ISIC_0011117,0.400969
ISIC_0009078,0.898361
ISIC_0010606,0.981514
ISIC_0012187,0.769521
ISIC_0000550,0.942804
ISIC_0013804,0.907171
ISIC_0012878,0.950644
ISIC_0012182,0.858091
ISIC_0000301,0.821916
ISIC_0000137,0.972020
ISIC_0014823,0.945105
ISIC_0000298,0.958673
ISIC_0009583,0.856622
ISIC_0013687,0.913900
ISIC_0010364,0.935225
ISIC_0003174,0.754013
ISIC_0010582,0.816928
ISIC_0000075,0.979892
ISIC_0013803,0.921238
ISIC_0013580,0.953202
ISIC_0000293,0.935418
ISIC_0013320,0.971999
ISIC_0000243,0.969131
ISIC_0010844,0.941692
ISIC_0014263,0.924096
ISIC_0012726,0.904824
ISIC_0014088,0.935929
ISIC_0012511,0.965398
ISIC_0000448,0.881020
ISIC_0013390,0.956250
ISIC_0009994,0.924316
ISIC_0013835,0.213479
ISIC_0012217,0.897369
ISIC_0015170,0.951042
ISIC_0014621,0.886639
ISIC_0011210,0.941263
ISIC_0013498,0.960543
ISIC_0000124,0.976433
ISIC_0013427,0.973015
ISIC_0013330,0.939910
ISIC_0000478,0.970463
ISIC_0013172,0.916361
ISIC_0012097,0.934552
ISIC_0010186,0.935941
ISIC_0000386,0.958521
ISIC_0013837,0.925130
ISIC_0010249,0.900466
ISIC_0000458,0.927470
ISIC_0014576,0.856772
ISIC_0000074,0.914300
ISIC_0010475,0.884205
ISIC_0013417,0.957173
ISIC_0013656,0.927409
ISIC_0014079,0.883032
ISIC_0013394,0.920635
ISIC_0014507,0.940706
ISIC_0002246,0.910943
ISIC_0000338,0.944723
ISIC_0013933,0.769164
ISIC_0013664,0.851910
ISIC_0014190,0.812720
ISIC_0000240,0.972754
ISIC_0000355,0.969104
ISIC_0014715,0.941580
ISIC_0014595,0.942531
ISIC_0009954,0.815104
ISIC_0012702,0.679123
ISIC_0013486,0.979751
ISIC_0014832,0.928300
ISIC_0010853,0.937825
ISIC_0011217,0.895250
ISIC_0000528,0.815484
ISIC_0013094,0.875472
ISIC_0000281,0.982766
ISIC_0010566,0.817433
ISIC_0009912,0.811302
ISIC_0000303,0.691368
ISIC_0009898,0.873081
ISIC_0007693,0.930200
ISIC_0010220,0.958410
ISIC_0013219,0.938958
ISIC_0011367,0.682836
ISIC_0014475,0.943286
ISIC_0010193,0.129189
ISIC_0000476,0.888290
ISIC_0012257,0.913142
ISIC_0011167,0.917867
ISIC_0000433,0.897455
ISIC_0013800,0.876432
ISIC_0014582,0.657142
ISIC_0011359,0.888760
ISIC_0012263,0.907079
ISIC_0002780,0.854118
ISIC_0000488,0.962149
ISIC_0013618,0.924536
ISIC_0001119,0.949908
ISIC_0010574,0.895091
ISIC_0012539,0.915833
ISIC_0000456,0.924354
ISIC_0014739,0.955403
ISIC_0014685,0.923460
ISIC_0010170,0.841963
ISIC_0006193,0.919856
ISIC_0010327,0.857212
ISIC_0012683,0.856526
ISIC_0015108,0.895363
ISIC_0014778,0.949995
ISIC_0014093,0.950119
ISIC_0013606,0.770522
ISIC_0012950,0.944706
ISIC_0000366,0.957476
ISIC_0013984,0.954219
ISIC_0010481,0.944138
ISIC_0013684,0.269379
ISIC_0006326,0.948159
ISIC_0009958,0.893943
ISIC_0012785,0.941998
ISIC_0000269,0.973299
ISIC_0000133,0.822748
ISIC_0014089,0.394256
ISIC_0011124,0.920258
ISIC_0009909,0.896811
ISIC_0012501,0.626608
ISIC_0000367,0.931401
ISIC_0000149,0.932843
ISIC_0008347,0.831601
ISIC_0014013,0.925965
ISIC_0009533,0.909384
ISIC_0013896,0.955268
ISIC_0009976,0.789671
ISIC_0010435,0.872613
ISIC_0000122,0.963174
ISIC_0012455,0.940413
ISIC_0014922,0.975212
ISIC_0013360,0.280050
ISIC_0014189,0.861528
ISIC_0012721,0.970801
ISIC_0000242,0.967545
ISIC_0014361,0.957908
ISIC_0012299,0.979622
ISIC_0009998,0.953242
ISIC_0014898,0.981085
ISIC_0014603,0.913302
ISIC_0000508,0.922506
ISIC_0012986,0.861044
ISIC_0010241,0.885951
ISIC_0013037,0.937335
ISIC_0010554,0.908807
ISIC_0013958,0.778609
ISIC_0012835,0.909665
ISIC_0010247,0.889473
ISIC_0014573,0.912674
ISIC_0012653,0.946019
ISIC_0010334,0.951361
ISIC_0010055,0.903468
ISIC_0015189,0.968210
ISIC_0013971,0.692418
ISIC_0012526,0.948674
ISIC_0012690,0.945043
ISIC_0009883,0.973583
ISIC_0000323,0.579058
ISIC_0013140,0.804458
ISIC_0000265,0.934043
ISIC_0000051,0.975009
ISIC_0001105,0.883910
ISIC_0012260,0.929561
ISIC_0010473,0.951101
ISIC_0010020,0.936233
ISIC_0013635,0.860986
ISIC_0014684,0.953867
ISIC_0005787,0.794303
ISIC_0000198,0.970794
ISIC_0010064,0.961377
ISIC_0000511,0.946931
ISIC_0000277,0.905079
ISIC_0013385,0.957143
ISIC_0013015,0.964949
ISIC_0012135,0.913206
ISIC_0000024,0.877778
ISIC_0014360,0.920861
ISIC_0000067,0.966161
ISIC_0000347,0.791624
ISIC_0000215,0.943242
ISIC_0010034,0.969803
ISIC_0014557,0.761770
ISIC_0012351,0.741360
ISIC_0000436,0.877441
ISIC_0000514,0.887479
ISIC_0012735,0.939641
ISIC_0011088,0.899062
ISIC_0000223,0.975392
ISIC_0009298,0.864655
ISIC_0012339,0.893616
ISIC_0014554,0.957773
ISIC_0014838,0.936785
ISIC_0000532,0.944877
ISIC_0000110,0.924780
ISIC_0013962,0.894128
ISIC_0000489,0.855442
ISIC_0014846,0.972602
ISIC_0000253,0.931649
ISIC_0014028,0.931652
ISIC_0013456,0.884135
ISIC_0014441,0.963876
ISIC_0000419,0.945613
ISIC_0011343,0.925628
ISIC_0010581,0.954469
ISIC_0013048,0.937823
ISIC_0008280,0.922290
ISIC_0010168,0.954474
ISIC_0013599,0.949065
ISIC_0006982,0.949436
ISIC_0010603,0.954755
ISIC_0013167,0.968712
ISIC_0000128,0.970739
ISIC_0010371,0.965396
ISIC_0014845,0.937160
ISIC_0010336,0.943496
ISIC_0012944,0.766704
ISIC_0011294,0.851051
ISIC_0000365,0.959799
ISIC_0012246,0.971591
ISIC_0002251,0.947376
ISIC_0013224,0.933939
ISIC_0012175,0.956866
ISIC_0008998,0.962446
ISIC_0009910,0.941836
ISIC_0014754,0.977425
ISIC_0012793,0.909774
ISIC_0000086,0.957047
ISIC_0014791,0.979930
ISIC_0000034,0.962549
ISIC_0013594,0.958437
ISIC_0011352,0.931618
ISIC_0013675,0.962102
ISIC_0000431,0.903827
ISIC_0000185,0.945162
ISIC_0000232,0.989371
ISIC_0012094,0.949667
ISIC_0013086,0.966019
ISIC_0014951,0.968775
ISIC_0002806,0.965778
ISIC_0013839,0.933619
ISIC_0014933,0.964497
ISIC_0014926,0.960136
ISIC_0009897,0.974406
ISIC_0000531,0.917245
ISIC_0013432,0.941783
ISIC_0000251,0.940394
ISIC_0014831,0.927906
ISIC_0013364,0.931965
ISIC_0009929,0.969740
ISIC_0013129,0.693637
ISIC_0012901,0.924925
ISIC_0000063,0.929890
ISIC_0000357,0.959859
ISIC_0014144,0.921086
ISIC_0000079,0.949153
ISIC_0000184,0.964126
ISIC_0012826,0.892621
ISIC_0013775,0.974600
ISIC_0013249,0.735371
ISIC_0013807,0.873266
ISIC_0009870,0.811491
ISIC_0000378,0.958300
ISIC_0000047,0.928165
ISIC_0014166,0.865010
ISIC_0014593,0.953647
ISIC_0000525,0.979611
ISIC_0009430,0.912796
ISIC_0000082,0.966533
ISIC_0014802,0.968748
ISIC_0013207,0.356279
ISIC_0010237,0.828048
ISIC_0014805,0.938073
ISIC_0012487,0.865495
ISIC_0012969,0.944980
ISIC_0011101,0.975191
ISIC_0000031,0.908948
ISIC_0012227,0.919056
ISIC_0013816,0.410515
ISIC_0012697,0.931973
ISIC_0011168,0.557876
ISIC_0012209,0.098677
ISIC_0004168,0.732979
ISIC_0013634,0.896865
ISIC_0013685,0.704624
ISIC_0014543,0.897602
ISIC_0013695,0.895005
ISIC_0000046,0.935670
ISIC_0014069,0.755330
ISIC_0000191,0.933974
ISIC_0000363,0.960387
ISIC_0011213,0.936443
ISIC_0008396,0.913032
ISIC_0014818,0.946065
ISIC_0009891,0.965695
ISIC_0013830,0.931690
ISIC_0010191,0.945631
ISIC_0000538,0.977392
ISIC_0009504,0.954155
ISIC_0013525,0.942428
ISIC_0006021,0.885356
ISIC_0000416,0.960939
ISIC_0014229,0.961083
ISIC_0000457,0.975058
ISIC_0000212,0.944164
ISIC_0012290,0.959503
ISIC_0014317,0.933173
ISIC_0013229,0.911877
ISIC_0000359,0.981385
ISIC_0014771,0.974049
ISIC_0010379,0.898851
ISIC_0007557,0.933106
ISIC_0013795,0.612500
ISIC_0000427,0.975604
ISIC_0014834,0.943711
ISIC_0013495,0.935437
ISIC_0011173,0.942804
ISIC_0000201,0.969100
ISIC_0002374,0.956075
ISIC_0013204,0.909856
ISIC_0013805,0.851821
ISIC_0000136,0.972572
ISIC_0009880,0.933156
ISIC_0014498,0.917622
ISIC_0014274,0.881807
ISIC_0013121,0.931688
ISIC_0012517,0.794224
ISIC_0002453,0.952035
ISIC_0000395,0.895669
ISIC_0010251,0.943886
ISIC_0000221,0.946609
ISIC_0009937,0.845087
ISIC_0001142,0.974012
ISIC_0014151,0.883864
ISIC_0000384,0.938378
ISIC_0012549,0.925563
ISIC_0000319,0.751095
ISIC_0013603,0.900388
ISIC_0014522,0.835172
ISIC_0000072,0.948056
ISIC_0014238,0.980896
ISIC_0013772,0.905448
ISIC_0013676,0.960339
ISIC_0002287,0.825143
ISIC_0014325,0.921253
ISIC_0014793,0.958984
ISIC_0013288,0.839156
ISIC_0013346,0.425303
ISIC_0010575,0.898072
ISIC_0000520,0.681172
ISIC_0014026,0.947249
ISIC_0013316,0.955096
ISIC_0010206,0.951268
ISIC_0005000,0.941719
ISIC_0013244,0.959584
ISIC_0009901,0.964730
ISIC_0013578,0.876178
ISIC_0014438,0.952982
ISIC_0013970,0.834921
ISIC_0000554,0.887002
ISIC_0010081,0.814161
ISIC_0006776,0.831726
ISIC_0011158,0.813422
ISIC_0012855,0.953986
ISIC_0014249,0.917491
ISIC_0000313,0.966697
ISIC_0006795,0.933733
